[2025-12-03 16:51:36] Iniciando proceso de extracción de grupos y miembros...
[2025-12-03 16:51:36] Generando listado de grupos...
[2025-12-03 16:51:38] Se encontraron     1000 grupos
[2025-12-03 16:55:01] Procesando grupo 165/    1000: food@spin.co
[2025-12-03 16:55:02] Grupo food@spin.co:       18 usuarios encontrados
[2025-12-03 16:55:02] Procesando grupo 166/    1000: spinbyoxxocdpblueconic@spin.co
[2025-12-03 16:55:03] Grupo spinbyoxxocdpblueconic@spin.co:       10 usuarios encontrados
[2025-12-03 16:55:03] Procesando grupo 167/    1000: spinspei@spin.co
[2025-12-03 16:55:04] Grupo spinspei@spin.co:        8 usuarios encontrados
[2025-12-03 16:55:04] Procesando grupo 168/    1000: spinpro@spin.co
[2025-12-03 16:55:06] Grupo spinpro@spin.co:        8 usuarios encontrados
[2025-12-03 16:55:06] Procesando grupo 169/    1000: tenderospod1@spin.co
[2025-12-03 16:55:07] Grupo tenderospod1@spin.co:        4 usuarios encontrados
[2025-12-03 16:55:07] Procesando grupo 170/    1000: spinpremiatiendas@spin.co
[2025-12-03 16:55:08] Grupo spinpremiatiendas@spin.co: Vacío
[2025-12-03 16:55:08] Procesando grupo 171/    1000: spinpremiatiendasdev@spin.co
[2025-12-03 16:55:09] Grupo spinpremiatiendasdev@spin.co:       21 usuarios encontrados
[2025-12-03 16:55:09] Procesando grupo 172/    1000: spinpremianegociosdev@spin.co
[2025-12-03 16:55:10] Grupo spinpremianegociosdev@spin.co:        8 usuarios encontrados
[2025-12-03 16:55:10] Procesando grupo 173/    1000: spinpremiarespaldo@spin.co
[2025-12-03 16:55:12] Grupo spinpremiarespaldo@spin.co:        7 usuarios encontrados
[2025-12-03 16:55:12] Procesando grupo 174/    1000: spinpremianegocios-market-access@spin.co
[2025-12-03 16:55:13] Grupo spinpremianegocios-market-access@spin.co:        4 usuarios encontrados
[2025-12-03 16:55:13] Procesando grupo 175/    1000: ecosistemab2c@spin.co
[2025-12-03 16:55:14] Grupo ecosistemab2c@spin.co:       11 usuarios encontrados
[2025-12-03 16:55:14] Procesando grupo 176/    1000: spinpremia-seguimientoeventos@spin.co
[2025-12-03 16:55:15] Grupo spinpremia-seguimientoeventos@spin.co:        2 usuarios encontrados
[2025-12-03 16:55:15] Procesando grupo 177/    1000: spinplus@spin.co
[2025-12-03 16:55:16] Grupo spinplus@spin.co:        6 usuarios encontrados
[2025-12-03 16:55:16] Procesando grupo 178/    1000: spinplusanalytics@spin.co
[2025-12-03 16:55:18] Grupo spinplusanalytics@spin.co:        4 usuarios encontrados
[2025-12-03 16:55:18] Procesando grupo 179/    1000: spinplus459@spin.co
[2025-12-03 16:55:19] Grupo spinplus459@spin.co:        1 usuarios encontrados
[2025-12-03 16:55:19] Procesando grupo 180/    1000: spinnegociosmkt-planning@spin.co
[2025-12-03 16:55:20] Grupo spinnegociosmkt-planning@spin.co:        6 usuarios encontrados
[2025-12-03 16:55:20] Procesando grupo 181/    1000: spin_negocios_backend@spin.co
[2025-12-03 16:55:21] Grupo spin_negocios_backend@spin.co:       14 usuarios encontrados
[2025-12-03 16:55:21] Procesando grupo 182/    1000: spinnegocios.planeaciondeproducto@spin.co
[2025-12-03 16:55:22] Grupo spinnegocios.planeaciondeproducto@spin.co:       12 usuarios encontrados
[2025-12-03 16:55:22] Procesando grupo 183/    1000: spinnegocios@spin.co
[2025-12-03 16:55:24] Grupo spinnegocios@spin.co:        2 usuarios encontrados
[2025-12-03 16:55:24] Procesando grupo 184/    1000: spinpremianegocios-agencias@spin.co
[2025-12-03 16:55:25] Grupo spinpremianegocios-agencias@spin.co:        2 usuarios encontrados
[2025-12-03 16:55:25] Procesando grupo 185/    1000: spinpremianegocios@spin.co
[2025-12-03 16:55:26] Grupo spinpremianegocios@spin.co:        4 usuarios encontrados
[2025-12-03 16:55:26] Procesando grupo 186/    1000: spinfood@spin.co
[2025-12-03 16:55:27] Grupo spinfood@spin.co:       14 usuarios encontrados
[2025-12-03 16:55:27] Procesando grupo 187/    1000: spindataevolution@spin.co
[2025-12-03 16:55:29] Grupo spindataevolution@spin.co:        1 usuarios encontrados
[2025-12-03 16:55:29] Procesando grupo 188/    1000: spincentralfinance@spin.co
[2025-12-03 16:55:30] Grupo spincentralfinance@spin.co:        4 usuarios encontrados
[2025-12-03 16:55:30] Procesando grupo 189/    1000: spinbyoxxonew@spin.co
[2025-12-03 16:55:31] Grupo spinbyoxxonew@spin.co:        3 usuarios encontrados
[2025-12-03 16:55:31] Procesando grupo 190/    1000: spinbyoxxo@spin.co
[2025-12-03 16:55:33] Grupo spinbyoxxo@spin.co:        1 usuarios encontrados
[2025-12-03 16:55:33] Procesando grupo 191/    1000: spin@spin.co
[2025-12-03 16:55:34] Grupo spin@spin.co:        1 usuarios encontrados
[2025-12-03 16:55:34] Procesando grupo 192/    1000: spin-abbex@spin.co
[2025-12-03 16:55:35] Grupo spin-abbex@spin.co:        4 usuarios encontrados
[2025-12-03 16:55:35] Procesando grupo 193/    1000: spin-teleperformance@spin.co
[2025-12-03 16:55:36] Grupo spin-teleperformance@spin.co:       23 usuarios encontrados
[2025-12-03 16:55:36] Procesando grupo 194/    1000: spinpremia@spin.co
[2025-12-03 16:55:37] Grupo spinpremia@spin.co:        1 usuarios encontrados
[2025-12-03 16:55:37] Procesando grupo 195/    1000: spin-winclap@spin.co
[2025-12-03 16:55:39] Grupo spin-winclap@spin.co:        1 usuarios encontrados
[2025-12-03 16:55:39] Procesando grupo 196/    1000: ecosistemabranding@spin.co
[2025-12-03 16:55:40] Grupo ecosistemabranding@spin.co:        5 usuarios encontrados
[2025-12-03 16:55:40] Procesando grupo 197/    1000: sharepointjmr@spin.co
[2025-12-03 16:55:41] Grupo sharepointjmr@spin.co:        2 usuarios encontrados
[2025-12-03 16:55:41] Procesando grupo 198/    1000: spei-pruebasdedesempeodraft@spin.co
[2025-12-03 16:55:42] Grupo spei-pruebasdedesempeodraft@spin.co:        1 usuarios encontrados
[2025-12-03 16:55:42] Procesando grupo 199/    1000: somosdigitalpordireccin1@spin.co
[2025-12-03 16:55:44] Grupo somosdigitalpordireccin1@spin.co:        2 usuarios encontrados
[2025-12-03 16:55:44] Procesando grupo 200/    1000: serviciosespecializados@spin.co
[2025-12-03 16:55:45] Grupo serviciosespecializados@spin.co:        9 usuarios encontrados
[2025-12-03 16:55:45] Procesando grupo 201/    1000: serviciosbxb@spin.co
[2025-12-03 16:55:46] Grupo serviciosbxb@spin.co:        1 usuarios encontrados
[2025-12-03 16:55:46] Procesando grupo 202/    1000: servicenow-tickettrackingtoolexploration@spin.co
[2025-12-03 16:55:47] Grupo servicenow-tickettrackingtoolexploration@spin.co:        2 usuarios encontrados
[2025-12-03 16:55:47] Procesando grupo 203/    1000: semanamtyspinpremiaideo@spin.co
[2025-12-03 16:55:48] Grupo semanamtyspinpremiaideo@spin.co:       11 usuarios encontrados
[2025-12-03 16:55:48] Procesando grupo 204/    1000: seguridadspin@spin.co
[2025-12-03 16:55:50] Grupo seguridadspin@spin.co: Vacío
[2025-12-03 16:55:50] Procesando grupo 205/    1000: seguridadofensiva@spin.co
[2025-12-03 16:55:51] Grupo seguridadofensiva@spin.co:        4 usuarios encontrados
[2025-12-03 16:55:51] Procesando grupo 206/    1000: seguridad.ctso@spin.co
[2025-12-03 16:55:52] Grupo seguridad.ctso@spin.co:       10 usuarios encontrados
[2025-12-03 16:55:52] Procesando grupo 207/    1000: seguimientonuevosistemadegastosdeviaje-conexiones@spin.co
[2025-12-03 16:55:53] Grupo seguimientonuevosistemadegastosdeviaje-conexiones@spin.co:        3 usuarios encontrados
[2025-12-03 16:55:53] Procesando grupo 208/    1000: seguimientopendientes@spin.co
[2025-12-03 16:55:55] Grupo seguimientopendientes@spin.co:        1 usuarios encontrados
[2025-12-03 16:55:55] Procesando grupo 209/    1000: seguridadtransversal@spin.co
[2025-12-03 16:55:56] Grupo seguridadtransversal@spin.co:       17 usuarios encontrados
[2025-12-03 16:55:56] Procesando grupo 210/    1000: seguimientojuntas@spin.co
[2025-12-03 16:55:57] Grupo seguimientojuntas@spin.co:        1 usuarios encontrados
[2025-12-03 16:55:57] Procesando grupo 211/    1000: seguimiento@spin.co
[2025-12-03 16:55:58] Grupo seguimiento@spin.co:        1 usuarios encontrados
[2025-12-03 16:55:58] Procesando grupo 212/    1000: seguimientodeactividades@spin.co
[2025-12-03 16:55:59] Grupo seguimientodeactividades@spin.co:        4 usuarios encontrados
[2025-12-03 16:55:59] Procesando grupo 213/    1000: servicedata@spin.co
[2025-12-03 16:56:00] Grupo servicedata@spin.co:       16 usuarios encontrados
[2025-12-03 16:56:00] Procesando grupo 214/    1000: securitychampion@spin.co
[2025-12-03 16:56:02] Grupo securitychampion@spin.co:       50 usuarios encontrados
[2025-12-03 16:56:02] Procesando grupo 215/    1000: scanwinsegmentos@spin.co
[2025-12-03 16:56:04] Grupo scanwinsegmentos@spin.co:        8 usuarios encontrados
[2025-12-03 16:56:04] Procesando grupo 216/    1000: salesforcemvp@spin.co
[2025-12-03 16:56:05] Grupo salesforcemvp@spin.co:        3 usuarios encontrados
[2025-12-03 16:56:05] Procesando grupo 217/    1000: scanwin@spin.co
[2025-12-03 16:56:06] Grupo scanwin@spin.co:        2 usuarios encontrados
[2025-12-03 16:56:06] Procesando grupo 218/    1000: sdd@spin.co
[2025-12-03 16:56:08] Grupo sdd@spin.co:        4 usuarios encontrados
[2025-12-03 16:56:08] Procesando grupo 219/    1000: salas_juntas@spin.co
[2025-12-03 16:56:09] Grupo salas_juntas@spin.co:        1 usuarios encontrados
[2025-12-03 16:56:09] Procesando grupo 220/    1000: roadmap_netpay_mvp@spin.co
[2025-12-03 16:56:10] Grupo roadmap_netpay_mvp@spin.co:        1 usuarios encontrados
[2025-12-03 16:56:10] Procesando grupo 221/    1000: robert-b2b@spin.co
[2025-12-03 16:56:11] Grupo robert-b2b@spin.co:        6 usuarios encontrados
[2025-12-03 16:56:11] Procesando grupo 222/    1000: rrss@spin.co
[2025-12-03 16:56:13] Grupo rrss@spin.co:        2 usuarios encontrados
[2025-12-03 16:56:13] Procesando grupo 223/    1000: rh-ti@spin.co
[2025-12-03 16:56:14] Grupo rh-ti@spin.co:        9 usuarios encontrados
[2025-12-03 16:56:14] Procesando grupo 224/    1000: rh@spin.co
[2025-12-03 16:56:15] Grupo rh@spin.co:        1 usuarios encontrados
[2025-12-03 16:56:15] Procesando grupo 225/    1000: retailmedia@spin.co
[2025-12-03 16:56:16] Grupo retailmedia@spin.co:        1 usuarios encontrados
[2025-12-03 16:56:16] Procesando grupo 226/    1000: rewards@spin.co
[2025-12-03 16:56:17] Grupo rewards@spin.co:        6 usuarios encontrados
[2025-12-03 16:56:18] Procesando grupo 227/    1000: retention@spin.co
[2025-12-03 16:56:19] Grupo retention@spin.co:       21 usuarios encontrados
[2025-12-03 16:56:19] Procesando grupo 228/    1000: retailmedia508@spin.co
[2025-12-03 16:56:20] Grupo retailmedia508@spin.co:        1 usuarios encontrados
[2025-12-03 16:56:20] Procesando grupo 229/    1000: retail@spin.co
[2025-12-03 16:56:21] Grupo retail@spin.co:        1 usuarios encontrados
[2025-12-03 16:56:21] Procesando grupo 230/    1000: resultadosnps@spin.co
[2025-12-03 16:56:23] Grupo resultadosnps@spin.co:        3 usuarios encontrados
[2025-12-03 16:56:23] Procesando grupo 231/    1000: responsivascelulares2025@spin.co
[2025-12-03 16:56:24] Grupo responsivascelulares2025@spin.co:        2 usuarios encontrados
[2025-12-03 16:56:24] Procesando grupo 232/    1000: respuestaaincidentesdigitalfemsa@spin.co
[2025-12-03 16:56:25] Grupo respuestaaincidentesdigitalfemsa@spin.co:       19 usuarios encontrados
[2025-12-03 16:56:25] Procesando grupo 233/    1000: respaldospinpremia@spin.co
[2025-12-03 16:56:26] Grupo respaldospinpremia@spin.co:        3 usuarios encontrados
[2025-12-03 16:56:26] Procesando grupo 234/    1000: respaldobabi@spin.co
[2025-12-03 16:56:27] Grupo respaldobabi@spin.co:        1 usuarios encontrados
[2025-12-03 16:56:27] Procesando grupo 235/    1000: requerimientodeinformacionbcg@spin.co
[2025-12-03 16:56:29] Grupo requerimientodeinformacionbcg@spin.co:        1 usuarios encontrados
[2025-12-03 16:56:29] Procesando grupo 236/    1000: researchgeneral@spin.co
[2025-12-03 16:56:30] Grupo researchgeneral@spin.co:        1 usuarios encontrados
[2025-12-03 16:56:30] Procesando grupo 237/    1000: requerimientosdedata@spin.co
[2025-12-03 16:56:31] Grupo requerimientosdedata@spin.co:        3 usuarios encontrados
[2025-12-03 16:56:31] Procesando grupo 238/    1000: repositoriooperativospinpremia@spin.co
[2025-12-03 16:56:33] Grupo repositoriooperativospinpremia@spin.co:        4 usuarios encontrados
[2025-12-03 16:56:33] Procesando grupo 239/    1000: repositorio2025spinbyoxxo@spin.co
[2025-12-03 16:56:34] Grupo repositorio2025spinbyoxxo@spin.co:        1 usuarios encontrados
[2025-12-03 16:56:34] Procesando grupo 240/    1000: reportingtool@spin.co
[2025-12-03 16:56:35] Grupo reportingtool@spin.co:        2 usuarios encontrados
[2025-12-03 16:56:35] Procesando grupo 241/    1000: repositorio-entregablescampaasbranding@spin.co
[2025-12-03 16:56:36] Grupo repositorio-entregablescampaasbranding@spin.co:        3 usuarios encontrados
[2025-12-03 16:56:36] Procesando grupo 242/    1000: reportestarjetasconcialiacin@spin.co
[2025-12-03 16:56:38] Grupo reportestarjetasconcialiacin@spin.co:        3 usuarios encontrados
[2025-12-03 16:56:38] Procesando grupo 243/    1000: reportes@spin.co
[2025-12-03 16:56:39] Grupo reportes@spin.co:       10 usuarios encontrados
[2025-12-03 16:56:39] Procesando grupo 244/    1000: reportescallcenter@spin.co
[2025-12-03 16:56:40] Grupo reportescallcenter@spin.co:        5 usuarios encontrados
[2025-12-03 16:56:40] Procesando grupo 245/    1000: renegociaciones@spin.co
[2025-12-03 16:56:41] Grupo renegociaciones@spin.co:        1 usuarios encontrados
[2025-12-03 16:56:41] Procesando grupo 246/    1000: reportederesultados@spin.co
[2025-12-03 16:56:43] Grupo reportederesultados@spin.co:        1 usuarios encontrados
[2025-12-03 16:56:43] Procesando grupo 247/    1000: releases@spin.co
[2025-12-03 16:56:44] Grupo releases@spin.co:        1 usuarios encontrados
[2025-12-03 16:56:44] Procesando grupo 248/    1000: releasesspin@spin.co
[2025-12-03 16:56:45] Grupo releasesspin@spin.co: Vacío
[2025-12-03 16:56:45] Procesando grupo 249/    1000: regulacinspin-sep@spin.co
[2025-12-03 16:56:46] Grupo regulacinspin-sep@spin.co:        2 usuarios encontrados
[2025-12-03 16:56:46] Procesando grupo 250/    1000: regresiones-card-experience@spin.co
[2025-12-03 16:56:47] Grupo regresiones-card-experience@spin.co:        8 usuarios encontrados
[2025-12-03 16:56:47] Procesando grupo 251/    1000: ranger_ad@spin.co
[2025-12-03 16:56:49] Grupo ranger_ad@spin.co:        6 usuarios encontrados
[2025-12-03 16:56:49] Procesando grupo 252/    1000: qa_auto_gravty@spin.co
[2025-12-03 16:56:50] Grupo qa_auto_gravty@spin.co:        1 usuarios encontrados
[2025-12-03 16:56:50] Procesando grupo 253/    1000: qq@spin.co
[2025-12-03 16:56:51] Grupo qq@spin.co:        1 usuarios encontrados
[2025-12-03 16:56:51] Procesando grupo 254/    1000: qataskspace@spin.co
[2025-12-03 16:56:53] Grupo qataskspace@spin.co:        2 usuarios encontrados
[2025-12-03 16:56:53] Procesando grupo 255/    1000: qadigital@spin.co
[2025-12-03 16:56:54] Grupo qadigital@spin.co:       23 usuarios encontrados
[2025-12-03 16:56:54] Procesando grupo 256/    1000: qaleadsworkshop@spin.co
[2025-12-03 16:56:55] Grupo qaleadsworkshop@spin.co:        2 usuarios encontrados
[2025-12-03 16:56:55] Procesando grupo 257/    1000: q4@spin.co
[2025-12-03 16:56:56] Grupo q4@spin.co: Vacío
[2025-12-03 16:56:56] Procesando grupo 258/    1000: q1plan@spin.co
[2025-12-03 16:56:57] Grupo q1plan@spin.co:        1 usuarios encontrados
[2025-12-03 16:56:57] Procesando grupo 259/    1000: q1q22024@spin.co
[2025-12-03 16:56:58] Grupo q1q22024@spin.co:        1 usuarios encontrados
[2025-12-03 16:56:58] Procesando grupo 260/    1000: q1-2024@spin.co
[2025-12-03 16:57:00] Grupo q1-2024@spin.co:        1 usuarios encontrados
[2025-12-03 16:57:00] Procesando grupo 261/    1000: ptu2024@spin.co
[2025-12-03 16:57:01] Grupo ptu2024@spin.co:        2 usuarios encontrados
[2025-12-03 16:57:01] Procesando grupo 262/    1000: pruebasparaexternos@spin.co
[2025-12-03 16:57:03] Grupo pruebasparaexternos@spin.co:        1 usuarios encontrados
[2025-12-03 16:57:03] Procesando grupo 263/    1000: pruebas-digital-spin@spin.co
[2025-12-03 16:57:04] Grupo pruebas-digital-spin@spin.co:        1 usuarios encontrados
[2025-12-03 16:57:04] Procesando grupo 264/    1000: kiofs5@spin.co
[2025-12-03 16:57:05] Grupo kiofs5@spin.co:        1 usuarios encontrados
[2025-12-03 16:57:05] Procesando grupo 265/    1000: pruebas@spin.co
[2025-12-03 16:57:06] Grupo pruebas@spin.co:        1 usuarios encontrados
[2025-12-03 16:57:06] Procesando grupo 266/    1000: prueba2023@spin.co
[2025-12-03 16:57:07] Grupo prueba2023@spin.co:        1 usuarios encontrados
[2025-12-03 16:57:07] Procesando grupo 267/    1000: pruebaversion2@spin.co
[2025-12-03 16:57:08] Grupo pruebaversion2@spin.co:        1 usuarios encontrados
[2025-12-03 16:57:09] Procesando grupo 268/    1000: pruebarm@spin.co
[2025-12-03 16:57:10] Grupo pruebarm@spin.co: Vacío
[2025-12-03 16:57:10] Procesando grupo 269/    1000: pruebapc@spin.co
[2025-12-03 16:57:11] Grupo pruebapc@spin.co:        1 usuarios encontrados
[2025-12-03 16:57:11] Procesando grupo 270/    1000: pruebafs@spin.co
[2025-12-03 16:57:13] Grupo pruebafs@spin.co:        1 usuarios encontrados
[2025-12-03 16:57:13] Procesando grupo 271/    1000: pruebadigital@spin.co
[2025-12-03 16:57:14] Grupo pruebadigital@spin.co:        3 usuarios encontrados
[2025-12-03 16:57:14] Procesando grupo 272/    1000: pruebadekanbanparaportafoliob2b@spin.co
[2025-12-03 16:57:16] Grupo pruebadekanbanparaportafoliob2b@spin.co:        1 usuarios encontrados
[2025-12-03 16:57:16] Procesando grupo 273/    1000: prueba5@spin.co
[2025-12-03 16:57:17] Grupo prueba5@spin.co:        1 usuarios encontrados
[2025-12-03 16:57:17] Procesando grupo 274/    1000: prueba-df@spin.co
[2025-12-03 16:57:18] Grupo prueba-df@spin.co:        1 usuarios encontrados
[2025-12-03 16:57:18] Procesando grupo 275/    1000: prueba-digital@spin.co
[2025-12-03 16:57:19] Grupo prueba-digital@spin.co:        1 usuarios encontrados
[2025-12-03 16:57:19] Procesando grupo 276/    1000: prueba2@spin.co
[2025-12-03 16:57:20] Grupo prueba2@spin.co:        1 usuarios encontrados
[2025-12-03 16:57:20] Procesando grupo 277/    1000: adriana@spin.co
[2025-12-03 16:57:21] Grupo adriana@spin.co:        1 usuarios encontrados
[2025-12-03 16:57:21] Procesando grupo 278/    1000: prueba286@spin.co
[2025-12-03 16:57:24] Grupo prueba286@spin.co:        2 usuarios encontrados
[2025-12-03 16:57:24] Procesando grupo 279/    1000: prueba674@spin.co
[2025-12-03 16:57:25] Grupo prueba674@spin.co:        1 usuarios encontrados
[2025-12-03 16:57:25] Procesando grupo 280/    1000: prueba_haj@spin.co
[2025-12-03 16:57:26] Grupo prueba_haj@spin.co:        1 usuarios encontrados
[2025-12-03 16:57:26] Procesando grupo 281/    1000: prueba115@spin.co
[2025-12-03 16:57:27] Grupo prueba115@spin.co:        1 usuarios encontrados
[2025-12-03 16:57:27] Procesando grupo 282/    1000: prueba483@spin.co
[2025-12-03 16:57:28] Grupo prueba483@spin.co:        1 usuarios encontrados
[2025-12-03 16:57:28] Procesando grupo 283/    1000: prueba273@spin.co
[2025-12-03 16:57:30] Grupo prueba273@spin.co:        5 usuarios encontrados
[2025-12-03 16:57:30] Procesando grupo 284/    1000: kiofs6@spin.co
[2025-12-03 16:57:31] Grupo kiofs6@spin.co:        1 usuarios encontrados
[2025-12-03 16:57:31] Procesando grupo 285/    1000: proyectosanalytics@spin.co
[2025-12-03 16:57:32] Grupo proyectosanalytics@spin.co: Vacío
[2025-12-03 16:57:32] Procesando grupo 286/    1000: prueba566@spin.co
[2025-12-03 16:57:33] Grupo prueba566@spin.co: Vacío
[2025-12-03 16:57:33] Procesando grupo 287/    1000: proyectosabasto@spin.co
[2025-12-03 16:57:34] Grupo proyectosabasto@spin.co:        1 usuarios encontrados
[2025-12-03 16:57:34] Procesando grupo 288/    1000: proyectointegracinconekta@spin.co
[2025-12-03 16:57:35] Grupo proyectointegracinconekta@spin.co:        1 usuarios encontrados
[2025-12-03 16:57:35] Procesando grupo 289/    1000: proyecto1@spin.co
[2025-12-03 16:57:37] Grupo proyecto1@spin.co:        1 usuarios encontrados
[2025-12-03 16:57:37] Procesando grupo 290/    1000: pronto@spin.co
[2025-12-03 16:57:38] Grupo pronto@spin.co:        2 usuarios encontrados
[2025-12-03 16:57:38] Procesando grupo 291/    1000: proyectohranalytics@spin.co
[2025-12-03 16:57:39] Grupo proyectohranalytics@spin.co:        3 usuarios encontrados
[2025-12-03 16:57:39] Procesando grupo 292/    1000: promociones@spin.co
[2025-12-03 16:57:40] Grupo promociones@spin.co:        5 usuarios encontrados
[2025-12-03 16:57:40] Procesando grupo 293/    1000: projectvolaris@spin.co
[2025-12-03 16:57:41] Grupo projectvolaris@spin.co:        2 usuarios encontrados
[2025-12-03 16:57:41] Procesando grupo 294/    1000: projectq3q4digitalfemsa2023@spin.co
[2025-12-03 16:57:43] Grupo projectq3q4digitalfemsa2023@spin.co:        4 usuarios encontrados
[2025-12-03 16:57:43] Procesando grupo 295/    1000: star-productojds2025@spin.co
[2025-12-03 16:57:44] Grupo star-productojds2025@spin.co:        3 usuarios encontrados
[2025-12-03 16:57:44] Procesando grupo 296/    1000: procurementvmo-marketingrh@spin.co
[2025-12-03 16:57:45] Grupo procurementvmo-marketingrh@spin.co:        1 usuarios encontrados
[2025-12-03 16:57:45] Procesando grupo 297/    1000: procesos@spin.co
[2025-12-03 16:57:47] Grupo procesos@spin.co:        2 usuarios encontrados
[2025-12-03 16:57:47] Procesando grupo 298/    1000: procesoarrendadoresoxxo-lending@spin.co
[2025-12-03 16:57:48] Grupo procesoarrendadoresoxxo-lending@spin.co:        9 usuarios encontrados
[2025-12-03 16:57:48] Procesando grupo 299/    1000: prisma_vpn_sftp_lending@spin.co
[2025-12-03 16:57:49] Grupo prisma_vpn_sftp_lending@spin.co:        5 usuarios encontrados
[2025-12-03 16:57:49] Procesando grupo 300/    1000: procesocontractualabastecimientos@spin.co
[2025-12-03 16:57:50] Grupo procesocontractualabastecimientos@spin.co:        2 usuarios encontrados
[2025-12-03 16:57:50] Procesando grupo 301/    1000: procesoconciliacion@spin.co
[2025-12-03 16:57:51] Grupo procesoconciliacion@spin.co:        1 usuarios encontrados
[2025-12-03 16:57:51] Procesando grupo 302/    1000: prisma_vpn_pentafon@spin.co
[2025-12-03 16:57:54] Grupo prisma_vpn_pentafon@spin.co:        9 usuarios encontrados
[2025-12-03 16:57:54] Procesando grupo 303/    1000: prisma_vpn_kiara@spin.co
[2025-12-03 16:57:55] Grupo prisma_vpn_kiara@spin.co:       10 usuarios encontrados
[2025-12-03 16:57:55] Procesando grupo 304/    1000: presupuesto2024lideres@spin.co
[2025-12-03 16:57:56] Grupo presupuesto2024lideres@spin.co:        2 usuarios encontrados
[2025-12-03 16:57:56] Procesando grupo 305/    1000: priorizacinpromociones@spin.co
[2025-12-03 16:57:57] Grupo priorizacinpromociones@spin.co:        5 usuarios encontrados
[2025-12-03 16:57:57] Procesando grupo 306/    1000: prioridadesdevelopmentyonboarding@spin.co
[2025-12-03 16:57:58] Grupo prioridadesdevelopmentyonboarding@spin.co:        1 usuarios encontrados
[2025-12-03 16:57:58] Procesando grupo 307/    1000: presupuesto2024@spin.co
[2025-12-03 16:58:00] Grupo presupuesto2024@spin.co:        5 usuarios encontrados
[2025-12-03 16:58:00] Procesando grupo 308/    1000: premiaagilistas@spin.co
[2025-12-03 16:58:01] Grupo premiaagilistas@spin.co:        5 usuarios encontrados
[2025-12-03 16:58:01] Procesando grupo 309/    1000: pr12@spin.co
[2025-12-03 16:58:02] Grupo pr12@spin.co:        5 usuarios encontrados
[2025-12-03 16:58:02] Procesando grupo 310/    1000: pr1@spin.co
[2025-12-03 16:58:04] Grupo pr1@spin.co:        6 usuarios encontrados
[2025-12-03 16:58:04] Procesando grupo 311/    1000: pr12-4pmmoda@spin.co
[2025-12-03 16:58:05] Grupo pr12-4pmmoda@spin.co:        5 usuarios encontrados
[2025-12-03 16:58:05] Procesando grupo 312/    1000: pos@spin.co
[2025-12-03 16:58:06] Grupo pos@spin.co:        1 usuarios encontrados
[2025-12-03 16:58:06] Procesando grupo 313/    1000: posspinpro@spin.co
[2025-12-03 16:58:07] Grupo posspinpro@spin.co:        9 usuarios encontrados
[2025-12-03 16:58:07] Procesando grupo 314/    1000: portalteleperformance-marketaccess@spin.co
[2025-12-03 16:58:08] Grupo portalteleperformance-marketaccess@spin.co:       13 usuarios encontrados
[2025-12-03 16:58:08] Procesando grupo 315/    1000: portafolioperformance@spin.co
[2025-12-03 16:58:10] Grupo portafolioperformance@spin.co:       11 usuarios encontrados
[2025-12-03 16:58:10] Procesando grupo 316/    1000: portalbackoffice@spin.co
[2025-12-03 16:58:11] Grupo portalbackoffice@spin.co:        3 usuarios encontrados
[2025-12-03 16:58:11] Procesando grupo 317/    1000: polticasnetpay@spin.co
[2025-12-03 16:58:12] Grupo polticasnetpay@spin.co:        2 usuarios encontrados
[2025-12-03 16:58:12] Procesando grupo 318/    1000: pods-arq@spin.co
[2025-12-03 16:58:14] Grupo pods-arq@spin.co:        7 usuarios encontrados
[2025-12-03 16:58:14] Procesando grupo 319/    1000: podpushnotifications@spin.co
[2025-12-03 16:58:15] Grupo podpushnotifications@spin.co:        7 usuarios encontrados
[2025-12-03 16:58:15] Procesando grupo 320/    1000: podvolaris@spin.co
[2025-12-03 16:58:16] Grupo podvolaris@spin.co:        4 usuarios encontrados
[2025-12-03 16:58:16] Procesando grupo 321/    1000: podbackend@spin.co
[2025-12-03 16:58:17] Grupo podbackend@spin.co: Vacío
[2025-12-03 16:58:17] Procesando grupo 322/    1000: podintegraciones@spin.co
[2025-12-03 16:58:18] Grupo podintegraciones@spin.co: Vacío
[2025-12-03 16:58:18] Procesando grupo 323/    1000: pod3tenderos@spin.co
[2025-12-03 16:58:19] Grupo pod3tenderos@spin.co:        6 usuarios encontrados
[2025-12-03 16:58:19] Procesando grupo 324/    1000: pod2tenderos@spin.co
[2025-12-03 16:58:21] Grupo pod2tenderos@spin.co:        5 usuarios encontrados
[2025-12-03 16:58:21] Procesando grupo 325/    1000: pod1tenderos@spin.co
[2025-12-03 16:58:22] Grupo pod1tenderos@spin.co:        4 usuarios encontrados
[2025-12-03 16:58:22] Procesando grupo 326/    1000: pocdatagovernancealation@spin.co
[2025-12-03 16:58:24] Grupo pocdatagovernancealation@spin.co:       10 usuarios encontrados
[2025-12-03 16:58:24] Procesando grupo 327/    1000: pod-mpos@spin.co
[2025-12-03 16:58:25] Grupo pod-mpos@spin.co:        2 usuarios encontrados
[2025-12-03 16:58:25] Procesando grupo 328/    1000: pocbotnpremia-oxxopay@spin.co
[2025-12-03 16:58:26] Grupo pocbotnpremia-oxxopay@spin.co:        6 usuarios encontrados
[2025-12-03 16:58:26] Procesando grupo 329/    1000: pmolending@spin.co
